python 5.py                                                                                                                   ✔  24m 56s   relational_reality 
>>> STARTING TOPOLOGICAL BIG BANG (v3.3.5)...
>> Relational Physics v3.3.5 | N=4444 | init edges=0
>> Expansion baseline λE_base=-44.000 | target <k>=7.00
  eq  14250/4444444 | <k>=0.12 | tri#=     3 | Re(loop)=0.275 | d=1 corr=0.003 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.26
  eq  14500/4444444 | <k>=0.12 | tri#=     3 | Re(loop)=0.595 | d=1 corr=0.001 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.10
  eq  14750/4444444 | <k>=0.12 | tri#=     3 | Re(loop)=0.589 | d=1 corr=0.020 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.15
  eq  15000/4444444 | <k>=0.12 | tri#=     3 | Re(loop)=0.807 | d=1 corr=0.005 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.07
  eq  15250/4444444 | <k>=0.12 | tri#=     3 | Re(loop)=0.804 | d=1 corr=0.016 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  15500/4444444 | <k>=0.12 | tri#=     3 | Re(loop)=0.798 | d=1 corr=0.027 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.09
  eq  15750/4444444 | <k>=0.12 | tri#=     3 | Re(loop)=0.788 | d=1 corr=0.019 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.12
  eq  16000/4444444 | <k>=0.13 | tri#=     3 | Re(loop)=0.828 | d=1 corr=-0.011 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.12
  eq  16250/4444444 | <k>=0.13 | tri#=     3 | Re(loop)=0.850 | d=1 corr=0.008 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.09
  eq  16500/4444444 | <k>=0.13 | tri#=     4 | Re(loop)=0.730 | d=1 corr=0.026 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.26
  eq  16750/4444444 | <k>=0.13 | tri#=     4 | Re(loop)=0.690 | d=1 corr=0.028 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.08
  eq  17000/4444444 | <k>=0.13 | tri#=     4 | Re(loop)=0.668 | d=1 corr=0.041 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  17250/4444444 | <k>=0.13 | tri#=     4 | Re(loop)=0.669 | d=1 corr=0.062 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.21
  eq  17500/4444444 | <k>=0.14 | tri#=     4 | Re(loop)=0.836 | d=1 corr=0.056 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.19
  eq  17750/4444444 | <k>=0.14 | tri#=     4 | Re(loop)=0.899 | d=1 corr=0.066 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.15
  eq  18000/4444444 | <k>=0.14 | tri#=     4 | Re(loop)=0.900 | d=1 corr=0.062 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  18250/4444444 | <k>=0.14 | tri#=     4 | Re(loop)=0.900 | d=1 corr=0.054 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  18500/4444444 | <k>=0.14 | tri#=     4 | Re(loop)=0.907 | d=1 corr=0.048 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.12
  eq  18750/4444444 | <k>=0.14 | tri#=     4 | Re(loop)=0.816 | d=1 corr=0.073 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.15
  eq  19000/4444444 | <k>=0.14 | tri#=     4 | Re(loop)=0.913 | d=1 corr=0.045 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.00
  eq  19250/4444444 | <k>=0.15 | tri#=     5 | Re(loop)=0.751 | d=1 corr=0.074 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.30
  eq  19500/4444444 | <k>=0.15 | tri#=     5 | Re(loop)=0.859 | d=1 corr=0.050 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.09
  eq  19750/4444444 | <k>=0.15 | tri#=     5 | Re(loop)=0.876 | d=1 corr=0.028 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.10
  eq  20000/4444444 | <k>=0.15 | tri#=     6 | Re(loop)=0.837 | d=1 corr=0.043 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.21
  eq  20250/4444444 | <k>=0.15 | tri#=     6 | Re(loop)=0.922 | d=1 corr=0.043 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.10
  eq  20500/4444444 | <k>=0.15 | tri#=     6 | Re(loop)=0.908 | d=1 corr=0.070 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.08
  eq  20750/4444444 | <k>=0.16 | tri#=     6 | Re(loop)=0.937 | d=1 corr=0.069 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.14
  eq  21000/4444444 | <k>=0.16 | tri#=     7 | Re(loop)=0.879 | d=1 corr=0.092 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.25
  eq  21250/4444444 | <k>=0.16 | tri#=     7 | Re(loop)=0.837 | d=1 corr=0.075 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.12
  eq  21500/4444444 | <k>=0.16 | tri#=     8 | Re(loop)=0.599 | d=1 corr=0.080 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.33
  eq  21750/4444444 | <k>=0.17 | tri#=     8 | Re(loop)=0.632 | d=1 corr=0.047 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  22000/4444444 | <k>=0.17 | tri#=     8 | Re(loop)=0.580 | d=1 corr=0.054 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.18
  eq  22250/4444444 | <k>=0.17 | tri#=     8 | Re(loop)=0.635 | d=1 corr=0.091 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.14
  eq  22500/4444444 | <k>=0.17 | tri#=     8 | Re(loop)=0.643 | d=1 corr=0.046 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.20
  eq  22750/4444444 | <k>=0.17 | tri#=     8 | Re(loop)=0.685 | d=1 corr=0.045 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.19
  eq  23000/4444444 | <k>=0.18 | tri#=     9 | Re(loop)=0.496 | d=1 corr=0.078 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.23
  eq  23250/4444444 | <k>=0.18 | tri#=    10 | Re(loop)=0.494 | d=1 corr=0.102 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  23500/4444444 | <k>=0.18 | tri#=    10 | Re(loop)=0.450 | d=1 corr=0.039 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.08
  eq  23750/4444444 | <k>=0.18 | tri#=    10 | Re(loop)=0.422 | d=1 corr=0.100 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.20
  eq  24000/4444444 | <k>=0.18 | tri#=    10 | Re(loop)=0.421 | d=1 corr=0.076 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.11
  eq  24250/4444444 | <k>=0.19 | tri#=    10 | Re(loop)=0.500 | d=1 corr=0.090 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.18
  eq  24500/4444444 | <k>=0.19 | tri#=    10 | Re(loop)=0.448 | d=1 corr=0.025 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.28
  eq  24750/4444444 | <k>=0.19 | tri#=    11 | Re(loop)=0.454 | d=1 corr=0.011 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.22
  eq  25000/4444444 | <k>=0.19 | tri#=    11 | Re(loop)=0.447 | d=1 corr=0.002 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.06
  eq  25250/4444444 | <k>=0.19 | tri#=    11 | Re(loop)=0.458 | d=1 corr=0.012 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.23
  eq  25500/4444444 | <k>=0.19 | tri#=    11 | Re(loop)=0.472 | d=1 corr=0.007 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.07
  eq  25750/4444444 | <k>=0.20 | tri#=    11 | Re(loop)=0.500 | d=1 corr=0.033 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.12
  eq  26000/4444444 | <k>=0.20 | tri#=    11 | Re(loop)=0.526 | d=1 corr=0.087 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.13
  eq  26250/4444444 | <k>=0.20 | tri#=    11 | Re(loop)=0.547 | d=1 corr=0.076 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.34
  eq  26500/4444444 | <k>=0.20 | tri#=    12 | Re(loop)=0.416 | d=1 corr=0.080 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.27
  eq  26750/4444444 | <k>=0.21 | tri#=    12 | Re(loop)=0.423 | d=1 corr=0.043 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  27000/4444444 | <k>=0.21 | tri#=    12 | Re(loop)=0.390 | d=1 corr=0.098 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.20
  eq  27250/4444444 | <k>=0.21 | tri#=    13 | Re(loop)=0.361 | d=1 corr=0.069 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.09
  eq  27500/4444444 | <k>=0.21 | tri#=    13 | Re(loop)=0.314 | d=1 corr=0.080 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.15
  eq  27750/4444444 | <k>=0.21 | tri#=    13 | Re(loop)=0.322 | d=1 corr=0.087 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.19
  eq  28000/4444444 | <k>=0.22 | tri#=    13 | Re(loop)=0.274 | d=1 corr=0.066 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.20
  eq  28250/4444444 | <k>=0.22 | tri#=    13 | Re(loop)=0.263 | d=1 corr=0.050 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.16
  eq  28500/4444444 | <k>=0.22 | tri#=    13 | Re(loop)=0.233 | d=1 corr=0.073 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.29
  eq  28750/4444444 | <k>=0.22 | tri#=    13 | Re(loop)=0.215 | d=1 corr=0.040 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.24
