k,T,lb,N,seed,d_s_local,dip_t,has_dip,n_peaks
4,0.0,0.9,1000,46,2.8922126811594207,nan,False,2
5,0.0,0.95,1000,42,2.6962883777777775,nan,False,2
5,0.0,0.95,1000,43,2.65645337254902,nan,False,2
5,0.0,0.95,1000,44,2.8256075714285713,nan,False,2
5,0.0,0.95,1000,45,2.595460509803922,nan,False,2
5,0.0,0.95,1000,46,2.6019499999999995,nan,False,2
5,0.0,0.995,1000,42,1.85992625,nan,False,2
5,0.0,0.995,1000,43,2.0503544074074074,nan,False,2
5,0.0,0.995,1000,44,1.7412476000000001,nan,False,2
5,0.0,0.995,1000,45,1.5421738181818185,nan,False,2
5,0.0,0.995,1000,46,1.8800439333333336,nan,False,2
5,0.0,0.999,1000,42,1.8184137309941522,nan,False,2
5,0.0,0.999,1000,43,2.138045315789474,nan,False,2
5,0.0,0.999,1000,44,2.058344274074074,nan,False,2
5,0.0,0.999,1000,45,1.9436633060109287,nan,False,2
5,0.0,0.999,1000,46,0.7806067777777778,nan,False,2
5,0.0,0.99,1000,42,2.2297202592592593,nan,False,2
5,0.0,0.99,1000,43,2.4177667222222223,nan,False,2
5,0.0,0.99,1000,44,2.790424248756219,nan,False,2
5,0.0,0.99,1000,45,2.2989111904761903,nan,False,2
5,0.0,0.99,1000,46,2.4072768095238097,nan,False,2
5,0.0,0.9,1000,42,3.4713479166666668,nan,False,0
5,0.0,0.9,1000,43,3.5489891111111107,nan,False,0
5,0.0,0.9,1000,44,3.6266936666666667,nan,False,0
5,0.0,0.9,1000,45,3.4571495,nan,False,0
5,0.0,0.9,1000,46,2.757386292929293,nan,False,0
6,0.0,0.95,1000,42,2.7412656069651744,nan,False,2
6,0.0,0.95,1000,43,2.684546743961353,nan,False,2
6,0.0,0.95,1000,44,2.786683019900497,nan,False,2
6,0.0,0.95,1000,45,2.694275681372549,nan,False,2
6,0.0,0.95,1000,46,2.6498985619047613,nan,False,2
6,0.0,0.995,1000,42,3.198896369047619,nan,False,2
6,0.0,0.995,1000,43,2.6807579411764704,nan,False,2
6,0.0,0.995,1000,44,2.9941570710382517,nan,False,2
6,0.0,0.995,1000,45,3.0024148852459014,nan,False,2
6,0.0,0.995,1000,46,2.8677533915343916,nan,False,2
6,0.0,0.999,1000,42,0.9117274666666667,nan,False,2
6,0.0,0.999,1000,43,0.9617950933333335,nan,False,2
6,0.0,0.999,1000,44,0.7039725833333333,nan,False,2
6,0.0,0.999,1000,45,0.7530406944444445,nan,False,2
6,0.0,0.999,1000,46,2.2341111300813004,nan,False,2
6,0.0,0.99,1000,42,3.0830715611111112,nan,False,2
6,0.0,0.99,1000,43,3.34108236419753,nan,False,2
6,0.0,0.99,1000,44,3.2992905939393946,nan,False,2
6,0.0,0.99,1000,45,3.020999016393443,nan,False,2
6,0.0,0.99,1000,46,3.2683184606060602,nan,False,2
6,0.0,0.9,1000,42,2.937775026881721,nan,False,0
6,0.0,0.9,1000,43,3.0172309166666667,nan,False,0
6,0.0,0.9,1000,44,3.0592968305084747,nan,False,0
6,0.0,0.9,1000,45,3.0291037944444446,nan,False,0
6,0.0,0.9,1000,46,3.0581652372881356,nan,False,0
7,0.0,0.95,1000,42,3.0401230847457628,nan,False,2
7,0.0,0.95,1000,43,3.040784977777778,nan,False,2
7,0.0,0.95,1000,44,3.082507689655172,nan,False,2
7,0.0,0.95,1000,45,3.036310022222223,nan,False,2
7,0.0,0.95,1000,46,3.0357580000000004,nan,False,2
7,0.0,0.995,1000,42,3.483246509803922,nan,False,2
7,0.0,0.995,1000,43,3.5842611133333326,nan,False,2
7,0.0,0.995,1000,44,3.4541697115384618,nan,False,2
7,0.0,0.995,1000,45,3.375955937106918,nan,False,2
7,0.0,0.995,1000,46,3.1585876666666666,nan,False,2
7,0.0,0.999,1000,42,0.759517908045977,nan,False,2
7,0.0,0.999,1000,43,0.8838570370370369,nan,False,2
7,0.0,0.999,1000,44,2.68010154,nan,False,2
7,0.0,0.999,1000,45,0.6930845252525253,nan,False,2
7,0.0,0.999,1000,46,2.6563351621621627,nan,False,2
7,0.0,0.99,1000,42,3.5838405800000004,nan,False,2
7,0.0,0.99,1000,43,3.5122129607843133,nan,False,2
7,0.0,0.99,1000,44,3.545355307189542,nan,False,2
7,0.0,0.99,1000,45,3.578506226666667,nan,False,2
7,0.0,0.99,1000,46,3.509685065359478,nan,False,2
7,0.0,0.9,1000,42,3.3427518086419745,nan,False,0
7,0.0,0.9,1000,43,3.3793001111111107,nan,False,0
7,0.0,0.9,1000,44,3.406262402515723,nan,False,0
7,0.0,0.9,1000,45,3.2806377757575755,nan,False,0
7,0.0,0.9,1000,46,3.3561639629629627,nan,False,0
8,0.0,0.95,1000,42,3.341044358024692,nan,False,2
8,0.0,0.95,1000,43,3.3667232389937105,nan,False,0
8,0.0,0.95,1000,44,3.3779017861635214,nan,False,0
8,0.0,0.95,1000,45,3.242948715151515,nan,False,2
8,0.0,0.95,1000,46,3.3107896851851852,nan,False,2
8,0.0,0.995,1000,42,3.73965719858156,nan,False,2
8,0.0,0.995,1000,43,3.758211492753623,nan,False,2
8,0.0,0.995,1000,44,3.6821207375886527,nan,False,2
8,0.0,0.995,1000,45,3.7360225797101445,nan,False,2
8,0.0,0.995,1000,46,3.7155221631205673,nan,False,2
8,0.0,0.999,1000,42,2.542065174603175,nan,False,2
8,0.0,0.999,1000,43,2.9642964545454547,nan,False,2
8,0.0,0.999,1000,44,0.6047431333333334,nan,False,2
8,0.0,0.999,1000,45,2.8469029069767444,nan,False,2
8,0.0,0.999,1000,46,0.6003091111111111,nan,False,2
8,0.0,0.99,1000,42,3.8259680814814816,nan,False,0
8,0.0,0.99,1000,43,3.8291678623188403,nan,False,0
8,0.0,0.99,1000,44,3.737143108695652,nan,False,2
8,0.0,0.99,1000,45,3.815963442028986,nan,False,0
8,0.0,0.99,1000,46,3.7401218794326243,nan,False,2
8,0.0,0.9,1000,42,3.5280287600000007,nan,False,0
8,0.0,0.9,1000,43,3.62123296,nan,False,0
8,0.0,0.9,1000,44,3.5991965266666663,nan,False,0
8,0.0,0.9,1000,45,3.534513130718955,nan,False,0
8,0.0,0.9,1000,46,3.5690922569444443,nan,False,0
9,0.0,0.95,1000,42,3.59752218367347,nan,False,2
9,0.0,0.95,1000,43,3.5728661564625854,nan,False,2
9,0.0,0.95,1000,44,3.6010008775510203,nan,False,0
9,0.0,0.95,1000,45,3.5191717666666666,nan,False,2
9,0.0,0.95,1000,46,3.54065222,nan,False,2
9,0.0,0.995,1000,42,3.962058837209302,nan,False,0
9,0.0,0.995,1000,43,3.88277728030303,nan,False,2
9,0.0,0.995,1000,44,3.950351666666668,nan,False,0
9,0.0,0.995,1000,45,3.803831259259259,nan,False,2
9,0.0,0.995,1000,46,3.845309592592593,nan,False,2
9,0.0,0.999,1000,42,0.8079514166666667,nan,False,2
9,0.0,0.999,1000,43,2.84766303773585,nan,False,2
9,0.0,0.999,1000,44,2.8836231590909094,nan,False,2
9,0.0,0.999,1000,45,1.9460058795180721,nan,False,2
9,0.0,0.999,1000,46,1.9725497520325201,nan,False,2
9,0.0,0.99,1000,42,3.9709571666666674,nan,False,0
9,0.0,0.99,1000,43,3.9645097829457367,nan,False,0
9,0.0,0.99,1000,44,3.966661916666667,nan,False,0
9,0.0,0.99,1000,45,3.9516931550387597,nan,False,0
9,0.0,0.99,1000,46,3.912983477272728,nan,False,0
9,0.0,0.9,1000,42,3.718843184397163,nan,False,0
9,0.0,0.9,1000,43,3.7763059275362316,nan,False,0
9,0.0,0.9,1000,44,3.7793163687943263,nan,False,0
9,0.0,0.9,1000,45,3.7703277446808507,nan,False,0
9,0.0,0.9,1000,46,3.7725090638297876,nan,False,0
