k,T,lb,n_N,N_max,lcc_pct,lcc_src,transitivity,uv_shoulder,ir_plateau,ir_flatness,uv_conf,uv_resid_vs_4Dtorus,ir_resid_vs_4Dtorus,flat_score,flow_score,ir_dir,uv_dir,flat_dir,verdict,N_list
8,0.0,0.995,3,256000,99.8,meta,0.0610,2.157,3.891,0.188,in_window,-0.008,-0.157,72.8,0.7,flat,flat,down,FLAT-4D (73),16000;64000;256000
9,0.0,0.995,3,256000,100.0,meta,0.0513,2.127,4.446,0.479,in_window,0.040,0.044,55.4,0.0,flat,flat,up,weak (flat 55),16000;64000;256000
10,0.004,0.99,1,16000,100.0,meta,0.1040,2.171,4.242,0.152,in_window,0.085,-0.257,49.1,0.0,?,?,?,weak (flat 49),16000
10,0.001,0.99,1,16000,100.0,meta,0.1842,2.144,2.977,0.466,in_window,0.123,-0.023,34.0,0.0,?,?,?,neither,16000
11,0.005,0.995,3,256000,100.0,meta,0.0913,2.214,3.634,0.341,in_window,0.125,-0.353,32.6,0.0,flat,flat,up,neither,16000;64000;256000
9,0.004,0.99,1,16000,100.0,meta,0.1493,2.139,3.141,0.385,in_window,0.055,-0.223,26.6,0.0,?,?,?,neither,16000
11,0.001,0.99,1,16000,100.0,meta,0.1333,2.163,3.995,0.212,in_window,0.128,-0.432,22.1,0.0,?,?,?,neither,16000
9,0.001,0.99,1,16000,100.0,meta,0.1343,2.145,3.375,0.312,in_window,0.049,-0.459,20.9,0.0,?,?,?,neither,16000
8,0.004,0.99,1,16000,99.8,meta,0.1376,2.106,3.033,0.387,in_window,-0.006,0.137,19.8,0.2,?,?,?,neither,16000
4,0.03,0.999,2,64000,99.0,meta,0.0190,1.944,3.867,0.891,in_window,-0.290,0.334,11.0,19.0,up,flat,up,neither,16000;64000
8,0.005,0.999,3,256000,99.9,meta,0.0083,2.143,1.795,1.167,in_window,0.036,-0.704,10.8,0.0,down,flat,up,neither,16000;64000;256000
9,0.005,0.999,3,256000,99.9,meta,0.0076,2.225,2.396,1.897,in_window,0.090,0.257,10.7,0.0,down,flat,up,neither,16000;64000;256000
8,0.001,0.999,1,16000,99.2,meta,0.0249,2.184,4.298,0.995,in_window,0.029,0.069,9.7,0.0,?,?,?,neither,16000
9,0.004,0.999,1,16000,99.3,meta,0.0223,2.211,5.385,0.771,in_window,0.080,0.887,9.1,0.0,?,?,?,neither,16000
7,0.001,0.999,1,16000,98.7,meta,0.0300,2.124,3.301,0.905,in_window,-0.023,-0.682,7.5,0.5,?,?,?,neither,16000
5,0.005,0.999,3,256000,97.7,meta,0.0332,2.029,2.520,0.451,in_window,-0.161,-0.540,7.4,2.0,up,flat,flat,neither,16000;64000;256000
7,0.016,0.999,1,16000,98.8,meta,0.0260,2.118,4.133,0.822,in_window,-0.025,-0.030,6.4,0.5,?,?,?,neither,16000
5,0.016,0.999,1,16000,90.9,meta,0.0804,2.008,1.692,0.394,in_window,-0.144,-0.561,5.0,0.6,?,?,?,neither,16000
9,0.005,0.99,3,256000,100.0,meta,0.1067,2.117,5.008,0.234,in_window,0.064,0.907,2.9,0.0,up,flat,flat,neither,16000;64000;256000
7,0.015,0.999,3,256000,99.9,meta,0.0078,2.147,2.385,1.542,in_window,-0.022,0.108,2.5,0.2,down,flat,up,neither,16000;64000;256000
12,0.004,0.995,1,16000,100.0,meta,0.0986,2.245,3.697,0.340,in_window,0.165,-0.626,2.0,0.0,?,?,?,neither,16000
5,0.015,0.999,3,256000,98.2,meta,0.0275,2.011,2.541,0.369,in_window,-0.154,-0.588,1.9,0.5,up,flat,flat,neither,16000;64000;256000
10,0.005,0.995,3,256000,99.8,meta,0.1069,2.136,3.062,0.468,in_window,0.078,-0.662,1.7,0.0,flat,flat,up,neither,16000;64000;256000
8,0.004,0.999,1,16000,99.0,meta,0.0247,2.188,5.051,0.832,in_window,0.030,0.605,1.6,0.0,?,?,?,neither,16000
7,0.0,0.995,3,256000,99.8,meta,0.0724,2.098,3.181,0.252,in_window,-0.055,-0.633,0.4,0.0,flat,flat,up,neither,16000;64000;256000
10,0.001,0.95,1,16000,100.0,meta,0.1435,2.188,5.247,0.569,in_window,0.107,2.223,0.0,0.0,?,?,?,neither,16000
10,0.001,0.995,1,16000,99.6,meta,0.1544,2.149,2.278,0.446,in_window,0.079,-1.495,0.0,0.0,?,?,?,neither,16000
10,0.001,0.999,1,16000,99.4,meta,0.0162,2.239,6.673,0.640,in_window,0.136,2.705,0.0,0.0,?,?,?,neither,16000
10,0.004,0.95,1,16000,100.0,meta,0.1128,2.193,5.571,0.670,in_window,0.105,2.580,0.0,0.0,?,?,?,neither,16000
10,0.004,0.995,1,16000,99.8,meta,0.1610,2.144,2.200,0.422,in_window,0.079,-1.531,0.0,0.0,?,?,?,neither,16000
10,0.004,0.999,1,16000,99.4,meta,0.0154,2.234,6.721,0.635,in_window,0.135,2.817,0.0,0.0,?,?,?,neither,16000
10,0.005,0.95,3,256000,100.0,meta,0.0947,2.197,6.306,1.154,in_window,0.112,5.254,0.0,0.0,flat,flat,up,neither,16000;64000;256000
10,0.005,0.999,3,256000,99.9,meta,0.0060,2.224,8.472,1.416,in_window,0.151,5.435,0.0,0.0,up,flat,up,neither,16000;64000;256000
10,0.005,0.99,3,256000,100.0,meta,0.0947,2.149,5.382,0.297,in_window,0.129,1.798,0.0,0.0,up,flat,up,neither,16000;64000;256000
10,0.015,0.95,3,256000,100.0,meta,0.0004,2.205,7.156,1.717,in_window,0.119,7.310,0.0,0.0,up,flat,up,neither,16000;64000;256000
10,0.015,0.995,3,256000,100.0,meta,0.0027,2.166,6.771,1.701,in_window,0.110,7.140,0.0,0.0,flat,flat,up,neither,16000;64000;256000
10,0.015,0.999,3,256000,100.0,meta,0.0036,2.222,7.574,1.675,in_window,0.153,7.201,0.0,0.0,up,flat,up,neither,16000;64000;256000
10,0.015,0.99,3,256000,100.0,meta,0.0019,2.175,7.036,1.711,in_window,0.111,7.191,0.0,0.0,up,flat,up,neither,16000;64000;256000
10,0.015,0.9,3,256000,100.0,meta,0.0002,2.218,7.064,1.666,in_window,0.123,7.094,0.0,0.0,up,flat,up,neither,16000;64000;256000
10,0.016,0.95,1,16000,100.0,meta,0.0027,2.179,5.852,1.239,in_window,0.103,4.433,0.0,0.0,?,?,?,neither,16000
10,0.016,0.995,1,16000,100.0,meta,0.0052,2.177,5.870,1.239,in_window,0.103,4.411,0.0,0.0,?,?,?,neither,16000
10,0.016,0.999,1,16000,99.7,meta,0.0078,2.217,6.166,1.160,in_window,0.134,4.250,0.0,0.0,?,?,?,neither,16000
10,0.016,0.99,1,16000,100.0,meta,0.0040,2.177,5.712,1.244,in_window,0.103,4.437,0.0,0.0,?,?,?,neither,16000
10,0.016,0.9,1,16000,100.0,meta,0.0016,2.193,5.987,1.250,in_window,0.106,4.484,0.0,0.0,?,?,?,neither,16000
10,0.03,0.95,2,64000,100.0,meta,0.0009,2.183,6.564,1.457,in_window,0.123,5.882,0.0,0.0,flat,flat,up,neither,16000;64000
10,0.03,0.995,2,64000,100.0,meta,0.0034,2.232,6.444,1.431,in_window,0.112,5.721,0.0,0.0,flat,flat,up,neither,16000;64000
10,0.03,0.999,2,64000,100.0,meta,0.0039,2.230,6.740,1.468,in_window,0.156,5.885,0.0,0.0,flat,flat,up,neither,16000;64000
10,0.03,0.99,2,64000,100.0,meta,0.0028,2.236,6.563,1.439,in_window,0.113,5.695,0.0,0.0,flat,flat,up,neither,16000;64000
10,0.03,0.9,2,64000,100.0,meta,0.0005,2.200,6.610,1.451,in_window,0.127,5.875,0.0,0.0,flat,flat,up,neither,16000;64000
10,0.05,0.95,2,64000,100.0,meta,0.0009,2.223,6.617,1.468,in_window,0.131,5.852,0.0,0.0,flat,flat,up,neither,16000;64000
10,0.05,0.995,2,64000,100.0,meta,0.0031,2.211,6.651,1.459,in_window,0.118,5.832,0.0,0.0,flat,flat,up,neither,16000;64000
10,0.05,0.999,2,64000,100.0,meta,0.0036,2.217,6.854,1.467,in_window,0.164,5.855,0.0,0.0,flat,flat,up,neither,16000;64000
10,0.05,0.99,2,64000,100.0,meta,0.0026,2.194,6.697,1.461,in_window,0.118,5.847,0.0,0.0,flat,flat,up,neither,16000;64000
10,0.05,0.9,2,64000,100.0,meta,0.0005,2.241,6.746,1.457,in_window,0.135,5.865,0.0,0.0,flat,flat,up,neither,16000;64000
10,0.0,0.95,3,256000,100.0,meta,0.1657,2.173,5.403,1.218,in_window,0.118,4.864,0.0,0.0,flat,flat,up,neither,16000;64000;256000
10,0.0,0.995,3,256000,100.0,meta,0.0448,2.130,5.473,0.197,in_window,0.090,1.051,0.0,0.0,flat,flat,down,neither,16000;64000;256000
10,0.0,0.999,3,256000,86.9,meta,0.2292,0.628,1.423,0.954,in_window,0.304,4.066,0.0,0.0,up,down,up,REJECT: LCC 87% < 90%,16000;64000;256000
10,0.0,0.99,3,256000,100.0,meta,0.0429,2.150,7.060,0.467,in_window,0.118,3.571,0.0,0.0,flat,flat,flat,neither,16000;64000;256000
10,0.0,0.9,3,256000,100.0,meta,0.1338,2.171,6.149,1.335,in_window,0.108,5.721,0.0,0.0,flat,flat,up,neither,16000;64000;256000
11,0.001,0.995,1,16000,99.9,meta,0.1384,2.157,2.652,0.287,in_window,0.124,-1.369,0.0,0.0,?,?,?,neither,16000
11,0.001,0.999,1,16000,99.6,meta,0.0143,2.231,6.662,0.857,in_window,0.178,3.402,0.0,0.0,?,?,?,neither,16000
11,0.004,0.95,1,16000,100.0,meta,0.1070,2.180,5.785,0.726,in_window,0.157,2.762,0.0,0.0,?,?,?,neither,16000
11,0.004,0.995,1,16000,100.0,meta,0.1145,2.169,3.146,0.285,in_window,0.125,-1.036,0.0,0.0,?,?,?,neither,16000
11,0.004,0.999,1,16000,99.7,meta,0.0128,2.241,6.466,0.983,in_window,0.181,3.510,0.0,0.0,?,?,?,neither,16000
11,0.005,0.999,3,256000,99.9,meta,0.0052,2.206,7.845,1.652,in_window,0.198,6.998,0.0,0.0,up,flat,up,neither,16000;64000;256000
11,0.005,0.99,3,256000,100.0,meta,0.0806,2.226,5.667,0.470,in_window,0.190,2.777,0.0,0.0,flat,flat,up,neither,16000;64000;256000
11,0.015,0.95,3,256000,100.0,meta,0.0005,2.197,7.282,1.699,in_window,0.167,7.256,0.0,0.0,up,flat,up,neither,16000;64000;256000
11,0.015,0.995,3,256000,100.0,meta,0.0026,2.185,7.020,1.673,in_window,0.158,7.140,0.0,0.0,flat,flat,up,neither,16000;64000;256000
11,0.015,0.999,3,256000,100.0,meta,0.0033,2.218,7.332,1.732,in_window,0.203,7.229,0.0,0.0,up,flat,up,neither,16000;64000;256000
11,0.015,0.99,3,256000,100.0,meta,0.0018,2.188,7.139,1.683,in_window,0.159,7.184,0.0,0.0,up,flat,up,neither,16000;64000;256000
11,0.015,0.9,3,256000,100.0,meta,0.0002,2.214,7.051,1.695,in_window,0.172,7.084,0.0,0.0,up,flat,up,neither,16000;64000;256000
11,0.016,0.95,1,16000,100.0,meta,0.0031,2.188,6.074,1.230,in_window,0.148,4.529,0.0,0.0,?,?,?,neither,16000
11,0.016,0.995,1,16000,100.0,meta,0.0052,2.187,6.125,1.231,in_window,0.148,4.518,0.0,0.0,?,?,?,neither,16000
11,0.016,0.999,1,16000,99.7,meta,0.0070,2.234,6.125,1.218,in_window,0.190,4.465,0.0,0.0,?,?,?,neither,16000
11,0.016,0.99,1,16000,100.0,meta,0.0042,2.191,6.012,1.234,in_window,0.149,4.543,0.0,0.0,?,?,?,neither,16000
11,0.016,0.9,1,16000,100.0,meta,0.0016,2.211,5.907,1.237,in_window,0.150,4.458,0.0,0.0,?,?,?,neither,16000
11,0.03,0.95,2,64000,100.0,meta,0.0010,2.189,6.681,1.499,in_window,0.171,5.924,0.0,0.0,flat,flat,up,neither,16000;64000
11,0.03,0.995,2,64000,100.0,meta,0.0033,2.240,6.818,1.447,in_window,0.160,5.799,0.0,0.0,flat,flat,up,neither,16000;64000
11,0.03,0.999,2,64000,100.0,meta,0.0038,2.229,7.061,1.457,in_window,0.204,5.904,0.0,0.0,up,flat,up,neither,16000;64000
11,0.03,0.99,2,64000,100.0,meta,0.0029,2.242,6.675,1.418,in_window,0.160,5.726,0.0,0.0,flat,flat,up,neither,16000;64000
11,0.03,0.9,2,64000,100.0,meta,0.0005,2.210,6.656,1.465,in_window,0.174,5.854,0.0,0.0,flat,flat,up,neither,16000;64000
11,0.05,0.95,2,64000,100.0,meta,0.0010,2.227,7.039,1.442,in_window,0.178,5.859,0.0,0.0,up,flat,up,neither,16000;64000
11,0.05,0.995,2,64000,100.0,meta,0.0030,2.177,7.207,1.485,in_window,0.168,5.837,0.0,0.0,up,flat,up,neither,16000;64000
11,0.05,0.999,2,64000,100.0,meta,0.0036,2.247,6.949,1.461,in_window,0.216,5.829,0.0,0.0,flat,flat,up,neither,16000;64000
11,0.05,0.99,2,64000,100.0,meta,0.0026,2.180,6.832,1.474,in_window,0.168,5.880,0.0,0.0,flat,flat,up,neither,16000;64000
11,0.05,0.9,2,64000,100.0,meta,0.0006,2.248,6.786,1.452,in_window,0.184,5.896,0.0,0.0,flat,flat,up,neither,16000;64000
11,0.0,0.95,3,256000,100.0,meta,0.1507,2.174,5.858,1.110,in_window,0.168,4.864,0.0,0.0,flat,flat,up,neither,16000;64000;256000
11,0.0,0.995,3,256000,100.0,meta,0.0399,2.195,6.220,0.349,in_window,0.140,1.599,0.0,0.0,flat,flat,up,neither,16000;64000;256000
11,0.0,0.999,3,256000,90.4,meta,0.2162,0.657,1.471,0.979,in_window,0.448,4.225,0.0,0.0,up,down,up,neither,16000;64000;256000
11,0.0,0.99,3,256000,100.0,meta,0.1966,2.174,4.550,0.450,in_window,0.222,1.509,0.0,0.0,up,flat,flat,neither,16000;64000;256000
11,0.0,0.9,3,256000,100.0,meta,0.1227,2.186,6.510,1.334,in_window,0.161,5.872,0.0,0.0,flat,flat,up,neither,16000;64000;256000
12,0.001,0.999,1,16000,99.6,meta,0.0125,2.216,6.490,1.040,in_window,0.230,3.725,0.0,0.0,?,?,?,neither,16000
12,0.004,0.999,1,16000,99.6,meta,0.0111,2.222,6.417,1.102,in_window,0.231,4.060,0.0,0.0,?,?,?,neither,16000
12,0.005,0.999,3,256000,100.0,meta,0.0055,2.266,8.359,1.597,in_window,0.244,6.663,0.0,0.0,up,flat,up,neither,16000;64000;256000
12,0.015,0.95,2,64000,100.0,meta,0.0011,2.246,7.047,1.457,in_window,0.207,5.917,0.0,0.0,flat,flat,up,neither,16000;64000
12,0.015,0.995,2,64000,100.0,meta,0.0046,2.225,6.976,1.445,in_window,0.201,5.823,0.0,0.0,flat,flat,up,neither,16000;64000
12,0.015,0.99,2,64000,100.0,meta,0.0035,2.224,7.022,1.447,in_window,0.201,5.846,0.0,0.0,flat,flat,up,neither,16000;64000
12,0.015,0.9,2,64000,100.0,meta,0.0007,2.268,6.984,1.454,in_window,0.213,5.925,0.0,0.0,flat,flat,flat,neither,16000;64000
12,0.016,0.95,1,16000,100.0,meta,0.0031,2.274,6.338,1.216,in_window,0.195,4.610,0.0,0.0,?,?,?,neither,16000
12,0.016,0.995,1,16000,100.0,meta,0.0052,2.272,6.161,1.212,in_window,0.194,4.575,0.0,0.0,?,?,?,neither,16000
12,0.016,0.99,1,16000,100.0,meta,0.0041,2.270,6.168,1.214,in_window,0.194,4.585,0.0,0.0,?,?,?,neither,16000
12,0.016,0.9,1,16000,100.0,meta,0.0017,2.206,6.080,1.269,in_window,0.201,4.670,0.0,0.0,?,?,?,neither,16000
12,0.03,0.95,2,64000,100.0,meta,0.0010,2.183,6.848,1.454,in_window,0.218,5.888,0.0,0.0,flat,flat,up,neither,16000;64000
12,0.03,0.995,2,64000,100.0,meta,0.0033,2.241,7.281,1.462,in_window,0.205,5.969,0.0,0.0,up,flat,up,neither,16000;64000
12,0.03,0.999,2,64000,100.0,meta,0.0035,2.228,6.731,1.479,in_window,0.263,5.921,0.0,0.0,flat,flat,up,neither,16000;64000
12,0.03,0.99,2,64000,100.0,meta,0.0026,2.245,6.721,1.454,in_window,0.208,5.757,0.0,0.0,flat,flat,up,neither,16000;64000
12,0.03,0.9,2,64000,100.0,meta,0.0006,2.196,6.998,1.470,in_window,0.222,5.907,0.0,0.0,up,flat,up,neither,16000;64000
12,0.05,0.95,2,64000,100.0,meta,0.0011,2.228,6.757,1.478,in_window,0.234,5.878,0.0,0.0,flat,flat,up,neither,16000;64000
12,0.05,0.995,2,64000,100.0,meta,0.0033,2.249,6.795,1.466,in_window,0.217,5.884,0.0,0.0,flat,flat,up,neither,16000;64000
12,0.05,0.999,2,64000,100.0,meta,0.0035,2.209,7.122,1.483,in_window,0.268,5.946,0.0,0.0,flat,flat,up,neither,16000;64000
12,0.05,0.99,2,64000,100.0,meta,0.0026,2.251,6.881,1.479,in_window,0.218,5.903,0.0,0.0,flat,flat,up,neither,16000;64000
12,0.05,0.9,2,64000,100.0,meta,0.0006,2.260,7.151,1.483,in_window,0.243,5.975,0.0,0.0,flat,flat,up,neither,16000;64000
12,0.0,0.95,3,256000,100.0,meta,0.1380,2.171,6.242,1.075,in_window,0.220,4.987,0.0,0.0,flat,flat,up,neither,16000;64000;256000
12,0.0,0.995,3,256000,99.9,meta,0.1932,2.152,2.305,0.716,in_window,0.153,-1.040,0.0,0.0,flat,flat,up,neither,16000;64000;256000
12,0.0,0.999,3,256000,93.7,meta,0.2025,1.296,1.323,0.998,in_window,0.414,2.137,0.0,0.0,up,down,up,neither,16000;64000;256000
12,0.0,0.99,3,256000,100.0,meta,0.0364,2.201,7.747,0.982,in_window,0.210,4.734,0.0,0.0,up,flat,flat,neither,16000;64000;256000
12,0.0,0.9,3,256000,100.0,meta,0.1131,2.178,6.702,1.339,in_window,0.215,5.918,0.0,0.0,flat,flat,up,neither,16000;64000;256000
2,0.001,0.95,1,16000,93.4,meta,0.0001,1.072,1.174,0.091,in_window,-1.690,nan,0.0,0.0,?,?,?,neither,16000
2,0.001,0.995,1,16000,94.3,meta,0.0006,1.119,1.349,0.203,in_window,-1.689,nan,0.0,0.0,?,?,?,neither,16000
2,0.001,0.999,1,16000,50.2,meta,0.0719,1.042,1.182,0.110,in_window,-1.364,1.412,0.0,0.0,?,?,?,REJECT: LCC 50% < 90%,16000
2,0.001,0.99,1,16000,95.0,meta,0.0003,1.098,1.265,0.151,in_window,-1.690,nan,0.0,0.0,?,?,?,neither,16000
2,0.001,0.9,1,16000,94.0,meta,0.0000,1.075,1.182,0.098,in_window,-1.691,nan,0.0,0.0,?,?,?,neither,16000
2,0.004,0.95,1,16000,92.6,meta,0.0001,1.066,1.166,0.089,in_window,-1.690,1.337,0.0,0.0,?,?,?,neither,16000
2,0.004,0.995,1,16000,82.0,meta,0.0939,1.082,1.231,0.122,in_window,-1.584,1.519,0.0,0.0,?,?,?,REJECT: LCC 82% < 90%,16000
2,0.004,0.999,1,16000,47.6,meta,0.0777,1.044,1.183,0.109,in_window,-1.358,1.409,0.0,0.0,?,?,?,REJECT: LCC 48% < 90%,16000
2,0.004,0.99,1,16000,95.2,meta,0.0004,1.104,1.282,0.161,in_window,-1.690,nan,0.0,0.0,?,?,?,neither,16000
2,0.004,0.9,1,16000,95.6,meta,0.0001,1.082,1.208,0.114,in_window,-1.692,nan,0.0,0.0,?,?,?,neither,16000
2,0.005,0.95,3,256000,96.0,meta,0.0001,1.083,1.330,0.274,in_window,-1.909,nan,0.0,0.0,flat,flat,up,neither,16000;64000;256000
2,0.005,0.995,3,256000,84.1,meta,0.0844,1.091,1.400,0.340,in_window,-1.682,2.302,0.0,0.0,flat,flat,up,REJECT: LCC 84% < 90%,16000;64000;256000
2,0.005,0.999,3,256000,76.6,meta,0.0328,1.116,1.629,0.646,in_window,-1.629,3.433,0.0,0.0,up,flat,up,REJECT: LCC 77% < 90%,16000;64000;256000
2,0.005,0.99,3,256000,93.7,meta,0.0003,1.093,1.386,0.334,in_window,-1.908,nan,0.0,0.0,flat,flat,up,neither,16000;64000;256000
2,0.005,0.9,3,256000,98.4,meta,0.0000,1.103,1.440,0.401,in_window,-1.907,nan,0.0,0.0,up,flat,up,neither,16000;64000;256000
2,0.015,0.95,3,256000,94.7,meta,0.0001,1.075,1.275,0.241,in_window,-1.909,nan,0.0,0.0,flat,flat,up,neither,16000;64000;256000
2,0.015,0.995,3,256000,93.8,meta,0.0006,1.120,1.525,0.497,in_window,-1.907,nan,0.0,0.0,flat,flat,up,neither,16000;64000;256000
2,0.015,0.999,3,256000,74.6,meta,0.0380,1.097,1.558,0.546,in_window,-1.628,3.084,0.0,0.0,up,flat,up,REJECT: LCC 75% < 90%,16000;64000;256000
2,0.015,0.99,3,256000,93.3,meta,0.0003,1.089,1.363,0.310,in_window,-1.908,nan,0.0,0.0,flat,flat,up,neither,16000;64000;256000
2,0.015,0.9,3,256000,97.9,meta,0.0001,1.097,1.408,0.356,in_window,-1.907,nan,0.0,0.0,up,flat,up,neither,16000;64000;256000
2,0.016,0.95,1,16000,91.8,meta,0.0000,1.067,1.159,0.080,in_window,-1.689,1.311,0.0,0.0,?,?,?,neither,16000
2,0.016,0.995,1,16000,95.0,meta,0.0008,1.125,1.382,0.216,in_window,-1.689,nan,0.0,0.0,?,?,?,neither,16000
2,0.016,0.999,1,16000,54.2,meta,0.0719,1.055,1.212,0.129,in_window,-1.371,1.497,0.0,0.0,?,?,?,REJECT: LCC 54% < 90%,16000
2,0.016,0.99,1,16000,95.1,meta,0.0002,1.102,1.277,0.152,in_window,-1.689,nan,0.0,0.0,?,?,?,neither,16000
2,0.016,0.9,1,16000,95.3,meta,0.0001,1.080,1.204,0.110,in_window,-1.691,nan,0.0,0.0,?,?,?,neither,16000
2,0.03,0.95,2,64000,96.1,meta,0.0001,1.086,1.273,0.185,in_window,-1.805,1.740,0.0,0.0,flat,flat,up,neither,16000;64000
2,0.03,0.995,2,64000,93.6,meta,0.0009,1.119,1.438,0.307,in_window,-1.803,2.219,0.0,0.0,flat,flat,up,neither,16000;64000
2,0.03,0.999,2,64000,71.9,meta,0.0415,1.095,1.428,0.334,in_window,-1.515,2.291,0.0,0.0,flat,flat,up,REJECT: LCC 72% < 90%,16000;64000
2,0.03,0.99,2,64000,93.3,meta,0.0004,1.090,1.298,0.210,in_window,-1.804,1.837,0.0,0.0,flat,flat,up,neither,16000;64000
2,0.03,0.9,2,64000,95.0,meta,0.0001,1.081,1.265,0.175,in_window,-1.805,1.695,0.0,0.0,flat,flat,up,neither,16000;64000
2,0.05,0.95,2,64000,93.2,meta,0.0002,1.068,1.206,0.138,in_window,-1.804,1.555,0.0,0.0,flat,flat,up,neither,16000;64000
2,0.05,0.995,2,64000,93.4,meta,0.0008,1.108,1.398,0.281,in_window,-1.713,2.128,0.0,0.0,flat,flat,up,neither,16000;64000
2,0.05,0.999,2,64000,73.2,meta,0.0555,1.135,1.454,0.339,in_window,-1.513,2.327,0.0,0.0,up,flat,up,REJECT: LCC 73% < 90%,16000;64000
2,0.05,0.99,2,64000,94.6,meta,0.0004,1.094,1.330,0.222,in_window,-1.759,1.885,0.0,0.0,flat,flat,up,neither,16000;64000
2,0.05,0.9,2,64000,95.2,meta,0.0001,1.081,1.259,0.172,in_window,-1.805,1.692,0.0,0.0,flat,flat,up,neither,16000;64000
2,0.064,0.95,1,16000,91.8,meta,0.0001,1.068,1.167,0.088,in_window,-1.597,1.387,0.0,0.0,?,?,?,neither,16000
2,0.064,0.995,1,16000,91.4,meta,0.0008,1.091,1.257,0.148,in_window,-1.549,1.605,0.0,0.0,?,?,?,neither,16000
2,0.064,0.999,1,16000,78.0,meta,0.0519,1.166,1.450,0.288,in_window,-1.403,2.150,0.0,0.0,?,?,?,REJECT: LCC 78% < 90%,16000
2,0.064,0.99,1,16000,94.4,meta,0.0003,1.092,1.250,0.144,in_window,-1.689,nan,0.0,0.0,?,?,?,neither,16000
2,0.064,0.9,1,16000,93.2,meta,0.0002,1.073,1.187,0.108,in_window,-1.597,nan,0.0,0.0,?,?,?,neither,16000
2,0.0,0.95,3,256000,90.3,meta,0.0808,1.218,2.094,1.393,in_window,-1.879,6.097,0.0,0.0,up,flat,up,neither,16000;64000;256000
2,0.0,0.995,3,256000,86.0,meta,0.0928,1.142,1.631,0.632,in_window,-1.895,3.397,0.0,0.0,flat,flat,up,REJECT: LCC 86% < 90%,16000;64000;256000
2,0.0,0.999,3,256000,77.2,meta,0.0327,1.119,1.632,0.667,in_window,-1.630,3.513,0.0,0.0,up,flat,up,REJECT: LCC 77% < 90%,16000;64000;256000
2,0.0,0.99,3,256000,88.8,meta,0.0904,1.175,1.800,0.930,in_window,-1.888,4.474,0.0,0.0,up,flat,up,REJECT: LCC 89% < 90%,16000;64000;256000
2,0.0,0.9,3,256000,91.1,meta,0.0725,1.236,2.148,1.493,in_window,-1.854,6.500,0.0,0.0,up,flat,up,neither,16000;64000;256000
3,0.001,0.95,1,16000,97.3,meta,0.2287,1.447,2.359,0.977,in_window,-0.868,5.027,0.0,0.0,?,?,?,neither,16000
3,0.001,0.995,1,16000,87.1,meta,0.2613,1.096,1.730,0.572,in_window,-1.197,3.236,0.0,0.0,?,?,?,REJECT: LCC 87% < 90%,16000
3,0.001,0.999,1,16000,9.3,meta,0.1820,1.695,1.158,0.125,in_window,-0.400,-1.292,0.0,0.0,?,?,?,REJECT: LCC 9% < 90%,16000
3,0.001,0.99,1,16000,90.8,meta,0.2767,1.136,1.837,0.760,in_window,-1.156,3.966,0.0,0.0,?,?,?,neither,16000
3,0.001,0.9,1,16000,99.9,meta,0.0728,1.662,2.954,1.073,in_window,-0.710,5.880,0.0,0.0,?,?,?,neither,16000
3,0.004,0.95,1,16000,100.0,meta,0.0005,1.711,3.284,1.177,in_window,-0.657,6.337,0.0,0.0,?,?,?,neither,16000
3,0.004,0.995,1,16000,85.4,meta,0.2729,1.067,1.634,0.500,in_window,-1.138,2.957,0.0,0.0,?,?,?,REJECT: LCC 85% < 90%,16000
3,0.004,0.999,1,16000,12.4,meta,0.1845,1.693,1.159,0.098,in_window,-0.373,-1.117,0.0,0.0,?,?,?,REJECT: LCC 12% < 90%,16000
3,0.004,0.99,1,16000,91.1,meta,0.2762,1.138,1.851,0.750,in_window,-1.181,3.928,0.0,0.0,?,?,?,neither,16000
3,0.004,0.9,1,16000,100.0,meta,0.0003,1.719,3.455,1.193,in_window,-0.640,6.360,0.0,0.0,?,?,?,neither,16000
3,0.005,0.95,3,256000,100.0,meta,0.0007,1.696,3.683,1.855,in_window,-0.716,6.895,0.0,0.0,flat,flat,up,neither,16000;64000;256000
3,0.005,0.995,3,256000,85.8,meta,0.2675,1.085,1.952,1.194,in_window,-1.326,5.388,0.0,0.0,flat,flat,up,REJECT: LCC 86% < 90%,16000;64000;256000
3,0.005,0.999,3,256000,60.6,meta,0.1407,1.152,1.549,0.497,in_window,-1.238,2.949,0.0,0.0,up,down,up,REJECT: LCC 61% < 90%,16000;64000;256000
3,0.005,0.99,3,256000,90.6,meta,0.2801,1.138,2.102,1.349,in_window,-1.212,6.016,0.0,0.0,flat,flat,up,neither,16000;64000;256000
3,0.005,0.9,3,256000,100.0,meta,0.0002,1.708,3.895,1.890,in_window,-0.695,6.681,0.0,0.0,up,flat,up,neither,16000;64000;256000
3,0.015,0.95,3,256000,97.9,meta,0.2081,1.499,2.815,1.540,in_window,-0.950,7.011,0.0,0.0,flat,flat,up,neither,16000;64000;256000
3,0.015,0.995,3,256000,86.4,meta,0.2634,1.094,1.985,1.220,in_window,-1.326,5.464,0.0,0.0,up,flat,up,REJECT: LCC 86% < 90%,16000;64000;256000
3,0.015,0.999,3,256000,56.1,meta,0.1441,1.137,1.485,0.420,in_window,-1.233,2.672,0.0,0.0,up,down,up,REJECT: LCC 56% < 90%,16000;64000;256000
